OrderID,CustomerID,OrderDate,City,State,PaymentMode,OrderStatus
1,890,2024-02-27,Lucknow,Tamil Nadu,COD,Returned
2,879,2024-05-13,Ahmedabad,West Bengal,Card,Shipped
3,576,2024-10-31,Bengaluru,Tamil Nadu,Card,Returned
4,971,2024-09-09,Bengaluru,Kerala,Wallet,Shipped
5,1211,2024-08-30,Delhi,Gujarat,UPI,Shipped
6,79,2025-04-04,Chennai,Gujarat,Card,Returned
7,1263,2024-03-08,Ahmedabad,Karnataka,UPI,Returned
8,1076,2025-04-11,Chennai,Gujarat,Card,Cancelled
9,982,2025-04-30,Mumbai,Kerala,NetBanking,Delivered
10,226,2024-12-26,Chennai,Telangana,COD,Cancelled
11,857,2026-02-16,Ahmedabad,Telangana,UPI,Shipped
12,2,2024-03-31,Mumbai,Telangana,Card,Cancelled
13,574,2025-06-16,Kolkata,Karnataka,NetBanking,Shipped
14,1007,2024-11-03,Hyderabad,Telangana,COD,Delivered
15,1371,2024-05-28,Mumbai,Kerala,Card,Cancelled
16,741,2025-02-22,Kolkata,Kerala,Wallet,Cancelled
17,1332,2024-10-19,Chennai,Gujarat,Wallet,Returned
18,218,2024-05-18,Delhi,West Bengal,UPI,Delivered
19,1341,2025-10-11,Ahmedabad,Gujarat,NetBanking,Delivered
20,1120,2024-05-05,Kolkata,Telangana,COD,Returned
21,1093,2024-09-12,Delhi,Maharashtra,Card,Shipped
22,1128,2025-04-22,Chennai,Kerala,COD,Cancelled
23,1290,2025-05-23,Bengaluru,Rajasthan,UPI,Returned
24,1073,2025-04-23,Kochi,Maharashtra,Card,Cancelled
25,265,2026-02-01,Chennai,Maharashtra,Wallet,Delivered
26,390,2026-01-29,Jaipur,UP,Wallet,Delivered
27,897,2024-08-06,Kochi,Rajasthan,Wallet,Returned
28,1244,2025-04-04,Chennai,Gujarat,Card,Delivered
29,1172,2024-07-31,Ahmedabad,West Bengal,UPI,Returned
30,1450,2025-07-18,Kochi,Tamil Nadu,COD,Shipped
31,1451,2024-12-18,Chennai,Kerala,UPI,Shipped
32,94,2024-10-05,Kochi,Gujarat,COD,Delivered
33,304,2025-12-04,Chennai,Delhi,COD,Delivered
34,510,2025-12-07,Ahmedabad,Kerala,UPI,Delivered
35,712,2025-12-14,Kolkata,Telangana,COD,Delivered
36,1125,2026-02-10,Chennai,Delhi,NetBanking,Cancelled
37,118,2025-01-16,Mumbai,Telangana,Card,Cancelled
38,525,2024-08-17,Mumbai,Kerala,Wallet,Delivered
39,783,2026-01-23,Chennai,West Bengal,Wallet,Shipped
40,452,2025-05-16,Hyderabad,Tamil Nadu,Card,Returned
41,914,2024-07-27,Ahmedabad,Rajasthan,COD,Shipped
42,192,2025-06-23,Lucknow,Delhi,NetBanking,Shipped
43,387,2024-08-17,Kolkata,UP,Card,Cancelled
44,636,2024-03-11,Delhi,Delhi,NetBanking,Shipped
45,294,2024-04-30,Bengaluru,Rajasthan,Card,Returned
46,825,2025-12-10,Bengaluru,Kerala,Card,Delivered
47,205,2025-10-28,Jaipur,Rajasthan,UPI,Delivered
48,1320,2024-03-03,Mumbai,Delhi,Card,Delivered
49,293,2024-11-19,Kolkata,Maharashtra,UPI,Delivered
50,694,2025-08-27,Bengaluru,Gujarat,Card,Returned
51,910,2025-09-17,Delhi,Tamil Nadu,COD,Returned
52,500,2024-07-26,Mumbai,Kerala,COD,Delivered
53,92,2024-03-11,Bengaluru,Kerala,COD,Delivered
54,851,2025-07-26,Delhi,Maharashtra,Card,Delivered
55,875,2024-10-08,Jaipur,Delhi,COD,Cancelled
56,1402,2024-10-07,Jaipur,Karnataka,NetBanking,Shipped
57,460,2024-06-10,Bengaluru,Tamil Nadu,COD,Delivered
58,684,2025-11-10,Bengaluru,Telangana,UPI,Delivered
59,310,2025-10-30,Delhi,Rajasthan,Wallet,Cancelled
60,372,2025-10-25,Jaipur,Delhi,COD,Cancelled
61,213,2025-02-09,Chennai,UP,COD,Cancelled
62,157,2026-02-16,Mumbai,Delhi,Card,Cancelled
63,800,2024-07-19,Lucknow,UP,UPI,Delivered
64,876,2025-10-02,Chennai,Delhi,UPI,Cancelled
65,373,2024-06-28,Jaipur,Telangana,COD,Returned
66,986,2025-04-28,Jaipur,West Bengal,COD,Shipped
67,504,2025-12-19,Jaipur,Rajasthan,Wallet,Returned
68,1094,2025-08-23,Lucknow,Kerala,Wallet,Shipped
69,172,2025-03-18,Kolkata,Rajasthan,Wallet,Shipped
70,179,2026-02-07,Ahmedabad,Telangana,UPI,Shipped
71,743,2024-03-07,Kochi,UP,Card,Delivered
72,716,2024-04-20,Hyderabad,Delhi,COD,Returned
73,1130,2024-07-15,Jaipur,Gujarat,Card,Shipped
74,283,2024-04-16,Bengaluru,Delhi,NetBanking,Delivered
75,870,2026-01-31,Hyderabad,Maharashtra,UPI,Delivered
76,1217,2025-06-21,Delhi,Maharashtra,Card,Cancelled
77,162,2024-07-12,Ahmedabad,Karnataka,UPI,Returned
78,374,2024-07-21,Lucknow,Delhi,Wallet,Cancelled
79,843,2025-06-14,Hyderabad,UP,UPI,Cancelled
80,320,2024-06-11,Mumbai,Maharashtra,Wallet,Shipped
81,329,2025-07-18,Mumbai,Rajasthan,NetBanking,Returned
82,1457,2025-09-08,Chennai,West Bengal,Wallet,Cancelled
83,466,2026-02-14,Jaipur,Delhi,COD,Delivered
84,774,2025-08-06,Delhi,Gujarat,NetBanking,Delivered
85,804,2024-09-30,Delhi,Kerala,Wallet,Delivered
86,960,2026-01-28,Lucknow,Telangana,NetBanking,Returned
87,112,2024-08-05,Hyderabad,Rajasthan,Card,Cancelled
88,214,2024-06-09,Bengaluru,Telangana,Wallet,Cancelled
89,491,2024-03-18,Chennai,Delhi,Wallet,Delivered
90,434,2024-04-25,Kolkata,Maharashtra,COD,Shipped
91,414,2025-09-05,Mumbai,Gujarat,COD,Delivered
92,1157,2025-09-24,Mumbai,West Bengal,NetBanking,Delivered
93,645,2024-04-08,Bengaluru,Tamil Nadu,UPI,Cancelled
94,816,2024-12-04,Kochi,Gujarat,COD,Returned
95,266,2025-02-17,Bengaluru,Telangana,NetBanking,Delivered
96,308,2025-07-17,Mumbai,West Bengal,NetBanking,Returned
97,77,2025-10-11,Chennai,Delhi,Card,Returned
98,1282,2024-05-09,Bengaluru,Gujarat,Card,Shipped
99,1028,2024-08-01,Kochi,West Bengal,Wallet,Cancelled
100,269,2025-05-22,Hyderabad,Tamil Nadu,COD,Returned
101,1460,2024-03-30,Jaipur,Gujarat,Card,Delivered
102,1162,2024-07-24,Lucknow,Karnataka,UPI,Shipped
103,1121,2024-12-31,Bengaluru,UP,UPI,Returned
104,348,2025-01-05,Chennai,Delhi,UPI,Cancelled
105,745,2025-10-01,Hyderabad,Karnataka,UPI,Shipped
106,944,2026-02-15,Chennai,UP,COD,Returned
107,288,2025-12-15,Bengaluru,West Bengal,NetBanking,Delivered
108,588,2025-02-25,Jaipur,Rajasthan,Wallet,Shipped
109,752,2025-05-15,Kochi,West Bengal,COD,Cancelled
110,1398,2024-05-14,Jaipur,Kerala,NetBanking,Cancelled
111,88,2026-01-17,Kolkata,Maharashtra,Card,Delivered
112,216,2024-07-26,Chennai,Rajasthan,Card,Returned
113,457,2024-05-03,Jaipur,UP,UPI,Cancelled
114,960,2025-06-10,Kochi,UP,UPI,Delivered
115,1499,2024-08-21,Bengaluru,Rajasthan,NetBanking,Shipped
116,674,2025-04-05,Bengaluru,Telangana,COD,Returned
117,1439,2024-09-23,Lucknow,Karnataka,COD,Returned
118,1117,2024-03-29,Delhi,UP,Card,Shipped
119,1164,2025-01-11,Mumbai,West Bengal,NetBanking,Delivered
120,881,2025-02-23,Lucknow,Gujarat,UPI,Shipped
121,1401,2024-03-13,Jaipur,Tamil Nadu,COD,Shipped
122,291,2024-05-14,Bengaluru,Tamil Nadu,NetBanking,Delivered
123,1459,2024-12-20,Lucknow,Rajasthan,Wallet,Shipped
124,532,2026-01-04,Delhi,Maharashtra,UPI,Returned
125,609,2025-02-03,Delhi,Gujarat,COD,Returned
126,974,2025-06-26,Kochi,Delhi,NetBanking,Cancelled
127,1169,2026-01-28,Jaipur,Maharashtra,Wallet,Shipped
128,1481,2024-05-08,Kolkata,West Bengal,Card,Cancelled
129,649,2025-12-30,Mumbai,Delhi,NetBanking,Shipped
130,649,2025-07-14,Bengaluru,Rajasthan,COD,Delivered
131,258,2025-05-25,Lucknow,West Bengal,UPI,Delivered
132,385,2024-09-29,Jaipur,Kerala,Card,Returned
133,713,2024-09-27,Ahmedabad,Gujarat,Wallet,Delivered
134,746,2025-03-04,Mumbai,Tamil Nadu,COD,Delivered
135,1023,2026-02-04,Lucknow,Rajasthan,NetBanking,Cancelled
136,1111,2025-02-13,Jaipur,Kerala,COD,Delivered
137,940,2024-08-17,Jaipur,Telangana,Card,Shipped
138,893,2025-08-27,Jaipur,Tamil Nadu,NetBanking,Cancelled
139,1271,2026-02-06,Bengaluru,Karnataka,UPI,Delivered
140,34,2025-12-15,Kolkata,Rajasthan,UPI,Returned
141,1116,2025-11-18,Bengaluru,UP,Wallet,Delivered
142,594,2026-01-02,Jaipur,Gujarat,Card,Returned
143,781,2025-09-05,Bengaluru,Gujarat,NetBanking,Delivered
144,951,2025-02-12,Jaipur,Rajasthan,UPI,Cancelled
145,1040,2024-10-05,Chennai,Tamil Nadu,COD,Cancelled
146,1379,2025-04-18,Ahmedabad,Maharashtra,NetBanking,Delivered
147,54,2024-03-05,Delhi,Telangana,Wallet,Cancelled
148,350,2025-01-27,Kolkata,Rajasthan,Card,Returned
149,1263,2024-09-03,Jaipur,Maharashtra,Wallet,Returned
150,1304,2024-06-29,Jaipur,Delhi,NetBanking,Cancelled
151,325,2025-08-01,Jaipur,Gujarat,UPI,Shipped
152,243,2025-07-19,Kolkata,Rajasthan,COD,Shipped
153,418,2025-01-14,Bengaluru,Karnataka,UPI,Returned
154,1288,2024-03-01,Kolkata,Delhi,UPI,Delivered
155,784,2025-09-26,Mumbai,Delhi,NetBanking,Cancelled
156,491,2024-08-28,Ahmedabad,Tamil Nadu,Card,Shipped
157,534,2025-03-12,Mumbai,Tamil Nadu,UPI,Shipped
158,48,2025-11-22,Kolkata,Karnataka,UPI,Returned
159,252,2025-10-21,Bengaluru,Delhi,COD,Cancelled
160,191,2024-08-21,Bengaluru,UP,COD,Shipped
161,207,2025-03-25,Lucknow,Maharashtra,NetBanking,Delivered
162,1282,2025-07-01,Bengaluru,Gujarat,NetBanking,Returned
163,1298,2025-01-05,Lucknow,Delhi,Card,Cancelled
164,366,2024-02-29,Kolkata,West Bengal,UPI,Delivered
165,711,2025-02-04,Lucknow,West Bengal,Wallet,Delivered
166,1069,2024-07-30,Chennai,Karnataka,Card,Delivered
167,48,2025-08-20,Kochi,Kerala,Card,Shipped
168,236,2025-02-26,Ahmedabad,Maharashtra,COD,Shipped
169,171,2024-10-01,Delhi,Tamil Nadu,COD,Returned
170,189,2024-09-10,Hyderabad,Kerala,COD,Returned
171,894,2025-07-10,Kochi,Rajasthan,Card,Cancelled
172,406,2024-08-14,Chennai,Rajasthan,UPI,Cancelled
173,422,2024-08-06,Lucknow,Rajasthan,NetBanking,Returned
174,557,2025-10-21,Hyderabad,West Bengal,UPI,Returned
175,410,2025-05-03,Kolkata,Telangana,COD,Delivered
176,343,2025-05-24,Mumbai,Kerala,COD,Returned
177,1237,2024-12-15,Kochi,Telangana,NetBanking,Delivered
178,369,2024-06-15,Hyderabad,Rajasthan,Card,Cancelled
179,149,2024-10-27,Ahmedabad,Telangana,COD,Shipped
180,251,2025-01-05,Mumbai,Telangana,UPI,Cancelled
181,954,2024-09-24,Kolkata,Telangana,Card,Delivered
182,581,2025-03-19,Kolkata,Gujarat,Wallet,Shipped
183,1149,2024-06-03,Chennai,West Bengal,UPI,Returned
184,892,2026-01-17,Hyderabad,Telangana,Card,Shipped
185,1012,2024-04-09,Lucknow,Maharashtra,COD,Returned
186,255,2024-06-20,Lucknow,Delhi,Wallet,Cancelled
187,785,2025-10-16,Ahmedabad,West Bengal,UPI,Cancelled
188,1319,2024-03-08,Kolkata,Maharashtra,NetBanking,Cancelled
189,825,2024-07-02,Mumbai,Kerala,Wallet,Delivered
190,1321,2025-01-29,Mumbai,Karnataka,NetBanking,Delivered
191,1482,2025-04-19,Chennai,Tamil Nadu,COD,Cancelled
192,164,2025-04-03,Kochi,Telangana,NetBanking,Delivered
193,612,2025-03-27,Lucknow,UP,UPI,Cancelled
194,211,2025-11-12,Mumbai,Gujarat,UPI,Delivered
195,216,2024-07-10,Hyderabad,Rajasthan,Card,Shipped
196,392,2024-05-19,Hyderabad,Kerala,UPI,Delivered
197,89,2024-11-10,Bengaluru,Maharashtra,COD,Delivered
198,675,2024-11-15,Kolkata,Rajasthan,COD,Shipped
199,1195,2024-07-09,Lucknow,Karnataka,Card,Cancelled
200,1197,2024-07-19,Jaipur,UP,UPI,Shipped
201,979,2025-10-02,Lucknow,Tamil Nadu,COD,Returned
202,189,2024-10-07,Chennai,Tamil Nadu,UPI,Cancelled
203,497,2025-09-12,Ahmedabad,Karnataka,UPI,Returned
