PaymentID,OrderID,PaymentMode,PaymentAmount,PaymentStatus,PaymentDate
1,1,Card,31351,Refunded,2024-10-12 16:33:10.639136
2,2,Wallet,9711,Refunded,2025-10-21 16:33:10.639136
3,3,Card,75958,Failed,2025-12-14 16:33:10.639136
4,4,Wallet,19429,Paid,2024-02-21 16:33:10.639136
5,5,COD,29603,Paid,2025-06-24 16:33:10.639136
6,6,UPI,21121,Paid,2025-04-21 16:33:10.639136
7,7,UPI,7494,Refunded,2024-06-26 16:33:10.639136
8,8,Card,67165,Paid,2025-12-18 16:33:10.639136
9,9,NetBanking,58457,Refunded,2024-12-01 16:33:10.639136
10,10,Card,59710,Paid,2025-01-07 16:33:10.639136
11,11,COD,73555,Failed,2025-07-05 16:33:10.639136
12,12,Wallet,70382,Failed,2024-08-07 16:33:10.639136
13,13,Wallet,19243,Paid,2025-04-03 16:33:10.639136
14,14,Card,19955,Paid,2026-01-28 16:33:10.639136
15,15,Wallet,3580,Paid,2024-08-08 16:33:10.639136
16,16,NetBanking,75818,Refunded,2024-04-13 16:33:10.639136
17,17,COD,34106,Failed,2026-02-08 16:33:10.639136
18,18,NetBanking,48129,Refunded,2025-10-04 16:33:10.639136
19,19,COD,18203,Refunded,2024-11-22 16:33:10.639136
20,20,NetBanking,53723,Paid,2025-09-22 16:33:10.639136
21,21,NetBanking,2749,Refunded,2025-04-30 16:33:10.639136
22,22,COD,57866,Paid,2026-01-30 16:33:10.639136
23,23,COD,45110,Paid,2025-02-23 16:33:10.639136
24,24,NetBanking,28710,Failed,2025-09-04 16:33:10.639136
25,25,NetBanking,33047,Failed,2025-07-09 16:33:10.639136
26,26,Wallet,70499,Failed,2024-03-04 16:33:10.639136
27,27,NetBanking,672,Refunded,2026-02-03 16:33:10.639136
28,28,Wallet,35928,Failed,2025-01-09 16:33:10.639136
29,29,NetBanking,61555,Failed,2024-04-13 16:33:10.639136
30,30,NetBanking,11526,Paid,2025-11-09 16:33:10.639136
31,31,Wallet,65752,Refunded,2025-05-28 16:33:10.639136
32,32,Card,71733,Failed,2024-07-26 16:33:10.639136
33,33,NetBanking,68678,Paid,2025-10-24 16:33:10.639136
34,34,Card,67393,Paid,2025-04-04 16:33:10.639136
35,35,UPI,49700,Failed,2024-06-20 16:33:10.639136
36,36,NetBanking,3718,Paid,2025-02-02 16:33:10.639136
37,37,Card,64778,Paid,2025-12-10 16:33:10.639136
38,38,Wallet,55806,Paid,2025-01-26 16:33:10.639136
39,39,NetBanking,52342,Refunded,2025-07-30 16:33:10.639136
